ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,0.000,0.000,C:\Users\daiki\PycharmProjects\openpifpaf_fall_debug\venv\lib\site-packages\PIL\GifImagePlugin.py:50(GifImageFile)
1,0.000,0.000,0.000,0.000,C:\Users\daiki\PycharmProjects\openpifpaf_fall_debug\venv\lib\site-packages\PIL\GifImagePlugin.py:27(<module>)
1,0.000,0.000,0.000,0.000,C:\Users\daiki\PycharmProjects\openpifpaf_fall_debug\venv\lib\site-packages\PIL\TiffImagePlugin.py:418(ImageFileDirectory_v2)
1,0.000,0.000,0.001,0.001,C:\Users\daiki\PycharmProjects\openpifpaf_fall_debug\venv\lib\site-packages\PIL\TiffImagePlugin.py:41(<module>)
1,0.000,0.000,0.000,0.000,C:\Users\daiki\PycharmProjects\openpifpaf_fall_debug\venv\lib\site-packages\PIL\TiffImagePlugin.py:1768(AppendingTiffWriter)
1,0.000,0.000,0.000,0.000,C:\Users\daiki\PycharmProjects\openpifpaf_fall_debug\venv\lib\site-packages\PIL\PpmImagePlugin.py:18(<module>)
1,0.000,0.000,0.000,0.000,C:\Users\daiki\PycharmProjects\openpifpaf_fall_debug\venv\lib\site-packages\PIL\TiffImagePlugin.py:920(ImageFileDirectory_v1)
5,0.000,0.000,0.000,0.000,C:\Users\daiki\PycharmProjects\openpifpaf_fall_debug\venv\lib\site-packages\PIL\JpegImagePlugin.py:635(<listcomp>)
5,0.000,0.000,0.000,0.000,C:\Users\daiki\PycharmProjects\openpifpaf_fall_debug\venv\lib\site-packages\PIL\JpegImagePlugin.py:673(validate_qtables)
1,0.000,0.000,0.000,0.000,C:\Users\daiki\PycharmProjects\openpifpaf_fall_debug\venv\lib\site-packages\PIL\BmpImagePlugin.py:275(DibImageFile)
1,0.000,0.000,0.000,0.000,C:\Users\daiki\PycharmProjects\openpifpaf_fall_debug\venv\lib\site-packages\PIL\BmpImagePlugin.py:27(<module>)
1,0.000,0.000,0.000,0.000,C:\Users\daiki\PycharmProjects\openpifpaf_fall_debug\venv\lib\site-packages\PIL\BmpImagePlugin.py:60(BmpImageFile)
5,0.000,0.000,0.000,0.000,C:\Users\daiki\PycharmProjects\openpifpaf_fall_debug\venv\lib\site-packages\PIL\TiffImagePlugin.py:650(_register_loader)
5,0.000,0.000,0.000,0.000,C:\Users\daiki\PycharmProjects\openpifpaf_fall_debug\venv\lib\site-packages\PIL\TiffImagePlugin.py:662(decorator)
5,0.000,0.000,0.000,0.000,C:\Users\daiki\PycharmProjects\openpifpaf_fall_debug\venv\lib\site-packages\PIL\TiffImagePlugin.py:651(decorator)
5,0.000,0.000,0.000,0.000,C:\Users\daiki\PycharmProjects\openpifpaf_fall_debug\venv\lib\site-packages\PIL\TiffImagePlugin.py:661(_register_writer)
8,0.000,0.000,0.000,0.000,C:\Users\daiki\PycharmProjects\openpifpaf_fall_debug\venv\lib\site-packages\PIL\TiffImagePlugin.py:668(_register_basic)
1,0.000,0.000,0.000,0.000,C:\Users\daiki\PycharmProjects\openpifpaf_fall_debug\venv\lib\site-packages\PIL\PpmImagePlugin.py:47(PpmImageFile)
26,0.000,0.000,0.000,0.000,C:\Users\daiki\PycharmProjects\openpifpaf_fall_debug\venv\lib\site-packages\PIL\TiffImagePlugin.py:376(_delegate)
1,0.000,0.000,0.000,0.000,C:\Users\daiki\PycharmProjects\openpifpaf_fall_debug\venv\lib\site-packages\PIL\TiffImagePlugin.py:291(IFDRational)
1,0.000,0.000,0.000,0.000,C:\Users\daiki\PycharmProjects\openpifpaf_fall_debug\venv\lib\site-packages\PIL\TiffImagePlugin.py:1019(TiffImageFile)
1,0.001,0.001,0.001,0.001,C:\Users\daiki\PycharmProjects\openpifpaf_fall_debug\venv\lib\site-packages\PIL\JpegImagePlugin.py:340(JpegImageFile)
1,0.000,0.000,0.000,0.000,C:\Users\daiki\PycharmProjects\openpifpaf_fall_debug\venv\lib\site-packages\PIL\JpegPresets.py:1(<module>)
6,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:35(_new_module)
6,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:58(__init__)
6,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:78(acquire)
6,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:103(release)
6,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:143(__init__)
6,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:147(__enter__)
6,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:151(__exit__)
6,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:64(_relax_case)
6,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:176(cb)
6,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:157(_get_module_lock)
11/4,0.000,0.000,0.015,0.004,<frozen importlib._bootstrap>:211(_call_with_frames_removed)
36,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:222(_verbose_message)
6,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:342(__init__)
12,0.000,0.000,0.001,0.000,<frozen importlib._bootstrap>:376(cached)
1316,0.003,0.000,0.005,0.000,<frozen importlib._bootstrap>:389(parent)
6,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:397(has_location)
6,0.000,0.000,0.001,0.000,<frozen importlib._bootstrap>:477(_init_module_attrs)
6,0.000,0.000,0.001,0.000,<frozen importlib._bootstrap>:549(module_from_spec)
6/4,0.000,0.000,0.012,0.003,<frozen importlib._bootstrap>:650(_load_unlocked)
6,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:725(find_spec)
6,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:800(find_spec)
18,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:79(_unpack_uint32)
24,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:863(__enter__)
24,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:867(__exit__)
6,0.000,0.000,0.003,0.001,<frozen importlib._bootstrap>:890(_find_spec)
6/4,0.000,0.000,0.015,0.004,<frozen importlib._bootstrap>:956(_find_and_load_unlocked)
6/4,0.000,0.000,0.015,0.004,<frozen importlib._bootstrap>:986(_find_and_load)
1498/1493,0.003,0.000,0.018,0.000,<frozen importlib._bootstrap>:1017(_handle_fromlist)
30,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:114(<listcomp>)
30,0.001,0.000,0.001,0.000,<frozen importlib._bootstrap_external>:91(_path_join)
36,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:129(<genexpr>)
12,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:127(_path_split)
18,0.000,0.000,0.003,0.000,<frozen importlib._bootstrap_external>:135(_path_stat)
6,0.000,0.000,0.001,0.000,<frozen importlib._bootstrap_external>:145(_path_is_mode_type)
6,0.000,0.000,0.001,0.000,<frozen importlib._bootstrap_external>:154(_path_isfile)
6,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:167(_path_isabs)
12,0.000,0.000,0.001,0.000,<frozen importlib._bootstrap_external>:354(cache_from_source)
6,0.000,0.000,0.001,0.000,<frozen importlib._bootstrap_external>:484(_get_cached)
6,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:516(_check_name_wrapper)
6,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:553(_classify_pyc)
6,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:586(_validate_timestamp_pyc)
6,0.000,0.000,0.002,0.000,<frozen importlib._bootstrap_external>:638(_compile_bytecode)
6,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:689(spec_from_file_location)
6,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:839(create_module)
6/4,0.000,0.000,0.012,0.003,<frozen importlib._bootstrap_external>:842(exec_module)
6,0.000,0.000,0.008,0.001,<frozen importlib._bootstrap_external>:914(get_code)
6,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:1004(__init__)
6,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:1029(get_filename)
6,0.000,0.000,0.004,0.001,<frozen importlib._bootstrap_external>:1034(get_data)
6,0.000,0.000,0.001,0.000,<frozen importlib._bootstrap_external>:1075(path_stats)
6,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:1330(_path_importer_cache)
6,0.000,0.000,0.003,0.000,<frozen importlib._bootstrap_external>:1367(_get_spec)
6,0.000,0.000,0.003,0.000,<frozen importlib._bootstrap_external>:1399(find_spec)
6,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:1493(_get_spec)
6,0.000,0.000,0.003,0.000,<frozen importlib._bootstrap_external>:1498(find_spec)
3,0.000,0.000,0.000,0.000,C:\Users\daiki\AppData\Local\Programs\Python\Python38\lib\abc.py:84(__new__)
123956,0.067,0.000,0.166,0.000,C:\Users\daiki\AppData\Local\Programs\Python\Python38\lib\abc.py:96(__instancecheck__)
89/27,0.000,0.000,0.001,0.000,C:\Users\daiki\AppData\Local\Programs\Python\Python38\lib\abc.py:100(__subclasscheck__)
1,0.000,0.000,0.000,0.000,C:\Users\daiki\AppData\Local\Programs\Python\Python38\lib\os.py:670(__getitem__)
1,0.000,0.000,0.000,0.000,C:\Users\daiki\AppData\Local\Programs\Python\Python38\lib\os.py:734(check_str)
1,0.000,0.000,0.000,0.000,C:\Users\daiki\AppData\Local\Programs\Python\Python38\lib\os.py:740(encodekey)
21,0.000,0.000,0.000,0.000,C:\Users\daiki\AppData\Local\Programs\Python\Python38\lib\os.py:812(fsdecode)
2,0.000,0.000,0.000,0.000,C:\Users\daiki\AppData\Local\Programs\Python\Python38\lib\os.py:1073(__subclasshook__)
2,0.000,0.000,0.000,0.000,C:\Users\daiki\AppData\Local\Programs\Python\Python38\lib\_bootlocale.py:11(getpreferredencoding)
864,0.001,0.000,0.001,0.000,C:\Users\daiki\AppData\Local\Programs\Python\Python38\lib\ntpath.py:34(_get_bothseps)
865,0.003,0.000,0.005,0.000,C:\Users\daiki\AppData\Local\Programs\Python\Python38\lib\ntpath.py:44(normcase)
17,0.000,0.000,0.000,0.000,C:\Users\daiki\AppData\Local\Programs\Python\Python38\lib\_collections_abc.py:72(_check_methods)
2,0.000,0.000,0.000,0.000,C:\Users\daiki\AppData\Local\Programs\Python\Python38\lib\ntpath.py:61(isabs)
9,0.000,0.000,0.000,0.000,C:\Users\daiki\AppData\Local\Programs\Python\Python38\lib\ntpath.py:77(join)
